aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
182724.93199999994,87.41082,52.0,209041.61899999998,100.00003199000004,152.0,11769.844999999998,5.630382880000001,52.0,10026.478000000001,4.796402600000001,35.0,891.5509999999999,0.4264951100000001,11.0,103.353,0.0494414,1.0,3525.46,1.68649,1.0,mnasnet1_3.onnx
182148.231,87.43628800000002,52.0,208321.11799999996,100.00000655,152.0,11631.391999999998,5.58339478,52.0,10037.301000000001,4.8181856,35.0,892.346,0.42835147,11.0,100.758,0.0483667,1.0,3511.09,1.68542,1.0,mnasnet1_3.onnx
185067.65999999995,87.64403999999996,52.0,211158.29299999992,100.00000243,152.0,11664.401,5.524009310000001,52.0,9905.25,4.690914299999998,35.0,895.6719999999999,0.4241713200000001,11.0,102.85,0.0487075,1.0,3522.46,1.66816,1.0,mnasnet1_3.onnx
183131.53999999998,87.46664800000005,52.0,209372.94700000001,99.99997968000008,152.0,11621.395999999997,5.550572119999999,52.0,10099.907999999998,4.823883499999999,35.0,894.4270000000001,0.42719336,11.0,101.426,0.0484427,1.0,3524.25,1.68324,1.0,mnasnet1_3.onnx
181854.474,87.38631,52.0,208104.12900000002,100.00002481000003,152.0,11633.063999999995,5.59002052,52.0,10114.864000000001,4.8604815000000015,35.0,896.678,0.43087949,11.0,102.519,0.0492633,1.0,3502.53,1.68307,1.0,mnasnet1_3.onnx
182862.09300000005,87.461369,52.0,209077.51,99.99998685999998,152.0,11760.090000000002,5.6247551200000006,52.0,9963.974999999997,4.7656847,35.0,888.55,0.42498613999999996,11.0,102.682,0.0491119,1.0,3500.12,1.67408,1.0,mnasnet1_3.onnx
184800.492,87.57458,52.0,211020.67299999998,99.99999181000004,152.0,11709.085000000005,5.548787980000001,52.0,10009.375,4.7433157,35.0,892.843,0.42310653,11.0,90.468,0.0428716,1.0,3518.41,1.66733,1.0,mnasnet1_3.onnx
181209.53800000003,87.27361400000001,52.0,207633.839,100.00000348000003,152.0,11801.803999999996,5.683951000000001,52.0,10094.729,4.861791600000001,35.0,891.3249999999999,0.42927708000000003,11.0,102.363,0.0492998,1.0,3534.08,1.70207,1.0,mnasnet1_3.onnx
182354.736,87.47839199999997,52.0,208456.86199999994,99.99998675999997,152.0,11700.038999999999,5.612690420000001,52.0,9894.362000000003,4.746480700000002,35.0,890.0180000000001,0.42695474000000005,11.0,106.957,0.0513089,1.0,3510.75,1.68416,1.0,mnasnet1_3.onnx
182902.57100000003,87.48121500000002,52.0,209076.43400000004,100.00002256,152.0,11722.082,5.606602949999998,52.0,9944.830000000004,4.756553699999999,35.0,884.558,0.42307841,11.0,98.773,0.0472425,1.0,3523.62,1.68533,1.0,mnasnet1_3.onnx
185806.10400000002,87.61671199999999,52.0,212066.96300000002,100.00000714000002,152.0,11759.759000000002,5.545308670000001,52.0,10024.281,4.726944400000002,35.0,893.732,0.42143846999999995,11.0,103.157,0.0486436,1.0,3479.93,1.64096,1.0,mnasnet1_3.onnx
181917.19599999994,87.37108300000001,52.0,208212.13899999997,100.0000046,152.0,11730.221999999996,5.633785449999999,52.0,10055.358,4.8293844,35.0,891.468,0.42815344999999994,11.0,102.645,0.0492983,1.0,3515.25,1.6883,1.0,mnasnet1_3.onnx
181969.682,87.21180099999998,52.0,208652.61000000004,100.00000222999996,152.0,11953.249000000003,5.728778679999999,52.0,10206.136999999999,4.8914480000000005,35.0,901.8549999999999,0.43222865000000005,11.0,101.647,0.0487159,1.0,3520.04,1.68703,1.0,mnasnet1_3.onnx
183212.01200000002,87.38956999999998,52.0,209649.72400000005,99.99998606999999,152.0,11750.598000000002,5.60487016,52.0,10152.37,4.8425369,35.0,899.7180000000001,0.42915281,11.0,100.016,0.0477062,1.0,3535.01,1.68615,1.0,mnasnet1_3.onnx
184962.62900000002,87.55088399999998,52.0,211262.94900000002,99.99997875999996,152.0,11757.141999999998,5.56517269,52.0,10074.266,4.768590300000002,35.0,850.6279999999999,0.40263997,11.0,100.734,0.0476818,1.0,3517.55,1.66501,1.0,mnasnet1_3.onnx
181844.89099999997,87.473039,52.0,207886.78699999995,99.99999372999996,152.0,11705.757999999998,5.630830979999997,52.0,9841.908,4.7342614,35.0,875.827,0.42130055,11.0,104.363,0.0502018,1.0,3514.04,1.69036,1.0,mnasnet1_3.onnx
180993.02399999998,87.404195,52.0,207075.86099999995,99.99998101000004,152.0,11716.109000000004,5.65788274,52.0,9871.352999999997,4.767023500000002,35.0,871.3200000000002,0.42077387,11.0,99.595,0.0480959,1.0,3524.46,1.70201,1.0,mnasnet1_3.onnx
182315.70299999998,87.38378600000001,52.0,208637.866,99.99998219999995,152.0,11738.454,5.62622968,52.0,10062.816,4.823102799999999,35.0,893.1750000000001,0.42809752,11.0,101.098,0.0484562,1.0,3526.62,1.69031,1.0,mnasnet1_3.onnx
184107.67200000005,87.53612000000001,52.0,210321.938,100.00000005999993,152.0,11612.785000000003,5.521433580000003,52.0,10087.503999999999,4.796219100000001,35.0,895.4009999999998,0.42572878000000003,11.0,101.246,0.0481386,1.0,3517.33,1.67236,1.0,mnasnet1_3.onnx
182945.94299999997,87.49926400000001,52.0,209082.87800000006,100.00001969,152.0,11711.094000000003,5.601174689999998,52.0,9929.693,4.7491672000000005,35.0,901.1969999999998,0.4310249,11.0,103.201,0.0493589,1.0,3491.75,1.67003,1.0,mnasnet1_3.onnx
182383.91400000005,87.39106799999999,52.0,208698.589,100.00000434000003,152.0,11751.825,5.631004379999998,52.0,10047.490000000002,4.814356300000001,35.0,894.175,0.42845266,11.0,100.265,0.048043,1.0,3520.92,1.68708,1.0,mnasnet1_3.onnx
182685.009,87.49890799999999,52.0,208785.39699999994,99.99996385999997,152.0,11667.689000000006,5.58836431,52.0,9941.942999999997,4.7617981999999985,35.0,877.9579999999999,0.42050794999999996,11.0,100.458,0.0481154,1.0,3512.34,1.68227,1.0,mnasnet1_3.onnx
186085.81900000002,87.62832300000001,52.0,212358.04900000003,99.99998443999999,152.0,11661.387000000002,5.49137875,52.0,10114.220000000001,4.7628128,35.0,894.6079999999998,0.42127298999999996,11.0,98.485,0.0463769,1.0,3503.53,1.64982,1.0,mnasnet1_3.onnx
182493.407,87.44322199999999,52.0,208699.34399999998,100.00001160000001,152.0,11685.370000000004,5.599141069999996,52.0,9994.985,4.789177200000002,35.0,897.1160000000001,0.42986033,11.0,98.216,0.047061,1.0,3530.25,1.69155,1.0,mnasnet1_3.onnx
181358.34900000007,87.31329199999996,52.0,207709.91600000006,100.00000722999995,152.0,11747.067000000003,5.655515560000002,52.0,10099.375000000002,4.862246700000001,35.0,892.7219999999999,0.42979227,11.0,100.533,0.0484007,1.0,3511.87,1.69076,1.0,mnasnet1_3.onnx
