aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
983712.9870000005,91.3911676,120.0,1076376.9770000007,100.000049742,868.0,8360.631000000005,0.7767387149999994,59.0,24520.12499999999,2.2780249710000002,121.0,1020.02,0.0947643,1.0,18388.844999999998,1.7084029399999996,62.0,17453.403000000006,1.6214953049999998,187.0,166.996,0.015514644000000001,62.0,17593.01800000001,1.634466129000001,186.0,158.78100000000003,0.014751437999999999,62.0,1052.3410000000001,0.09776699999999999,3.0,563.468,0.05234861,3.0,76.822,0.00713709,1.0,3309.54,0.307471,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
975284.8259999999,91.29304880000002,120.0,1068301.435,100.00001582900025,868.0,8362.260999999999,0.7827634179999998,59.0,24792.11699999999,2.320704922000002,121.0,1018.51,0.0953395,1.0,18490.733999999993,1.7308541999999998,62.0,17369.334,1.6258834539999998,187.0,161.35500000000005,0.015103888999999999,62.0,17620.916999999998,1.6494336790000004,186.0,158.25699999999998,0.014813897,62.0,1077.8600000000001,0.1008948,3.0,589.981,0.05522609,3.0,83.073,0.00777618,1.0,3292.21,0.308173,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
979696.8310000002,91.32321349999994,120.0,1072779.7979999997,100.00001219499987,868.0,8486.74,0.7910977370000001,59.0,24623.18500000001,2.2952692350000015,121.0,996.238,0.0928651,1.0,18328.121,1.7084697100000008,62.0,17506.636000000006,1.6318941510000002,187.0,165.31900000000002,0.015410336999999996,62.0,17784.026999999987,1.657751623000001,186.0,160.561,0.014966812,62.0,1073.123,0.100032,3.0,585.235,0.05455315,3.0,83.482,0.00778184,1.0,3290.3,0.306707,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
974202.5530000002,91.28308439999996,120.0,1067232.0709999995,99.99998731699989,868.0,8463.732000000002,0.7930555759999999,59.0,24727.686999999998,2.3169937369999993,121.0,1019.73,0.0955491,1.0,18503.557000000008,1.73379062,62.0,17240.72399999999,1.6154634970000008,187.0,166.01700000000002,0.015555859999999996,62.0,17721.116000000005,1.6604755549999994,186.0,160.08299999999997,0.014999842,62.0,1074.693,0.1006992,3.0,556.798,0.05217214,3.0,80.371,0.00753079,1.0,3315.01,0.310617,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
976464.0330000002,91.28948730000003,120.0,1069634.5580000007,99.99999134399992,868.0,8427.562000000007,0.787892833,59.0,24816.607000000004,2.3201018459999996,121.0,977.998,0.0914329,1.0,18442.526000000005,1.72419016,62.0,17507.910000000014,1.6368125509999987,187.0,169.467,0.015843458999999997,62.0,17628.115999999998,1.6480510019999988,186.0,161.63700000000003,0.015111433000000004,62.0,1079.329,0.1009063,3.0,587.576,0.05493248,3.0,77.207,0.00721808,1.0,3294.59,0.308011,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
979372.6349999997,91.31197919999995,120.0,1072556.700999999,100.00001437399983,868.0,8483.327,0.7909442469999998,59.0,24715.139000000017,2.3043216910000006,121.0,1022.44,0.0953275,1.0,18530.027000000006,1.72765033,62.0,17337.781999999992,1.6164921440000002,187.0,163.989,0.015289550000000002,62.0,17730.480000000003,1.6531044500000012,186.0,160.69699999999997,0.014982622000000001,62.0,1078.2820000000002,0.1005338,3.0,587.165,0.054744379999999995,3.0,77.658,0.00724046,1.0,3297.08,0.307404,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
974907.4730000001,91.27934839999996,120.0,1068048.3669999987,100.00000915600003,868.0,8481.707,0.7941304909999995,59.0,24639.17300000002,2.306935618999998,121.0,1004.37,0.094038,1.0,18446.434999999983,1.72711482,62.0,17521.511000000006,1.6405161839999984,187.0,158.917,0.014879190999999998,62.0,17691.637000000006,1.6564454440000003,186.0,159.26899999999992,0.014912147000000002,62.0,1076.855,0.1008245,3.0,582.694,0.054556799999999996,3.0,78.326,0.00733356,1.0,3300.0,0.308974,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
977954.6140000004,91.32882590000007,120.0,1070805.6530000004,99.99996234800008,868.0,8283.011999999999,0.7735310469999999,59.0,24683.720000000005,2.3051528189999995,121.0,1020.89,0.0953383,1.0,18510.709000000006,1.728670079999999,62.0,17294.559999999998,1.615097618000001,187.0,164.45200000000003,0.015357784000000003,62.0,17717.616999999987,1.6546067649999994,186.0,156.47400000000002,0.014612735000000002,62.0,1078.349,0.10070440000000001,3.0,588.9399999999999,0.05499972,3.0,83.846,0.00783018,1.0,3268.47,0.305235,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
974009.6110000001,91.29998409999999,120.0,1066823.8470000012,100.00003587900001,868.0,8402.540000000003,0.7876215549999996,59.0,24427.898999999987,2.2897788059999984,121.0,1020.82,0.0956878,1.0,18427.031999999996,1.72728118,62.0,17450.54,1.6357459709999997,187.0,170.05300000000008,0.015940122,62.0,17710.466,1.6601104440000005,186.0,155.881,0.014611690999999998,62.0,1075.744,0.1008362,3.0,592.285,0.05551848,3.0,79.356,0.00743853,1.0,3301.62,0.309481,1.0,densenet121.onnx
0.0,nan,120.0,0.0,nan,868.0,0.0,nan,59.0,0.0,nan,121.0,0.0,nan,1.0,0.0,nan,62.0,0.0,nan,187.0,0.0,nan,62.0,0.0,nan,186.0,0.0,nan,62.0,0.0,nan,3.0,0.0,nan,3.0,0.0,nan,1.0,0.0,nan,1.0,densenet121.onnx
