aggregated_duration_nnconv2dnnbiasaddclip,aggregated_percentage_nnconv2dnnbiasaddclip,aggregated_count_nnconv2dnnbiasaddclip,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
54907.80600000001,56.198121,35.0,97704.01200000002,100.00001979999998,54.0,15991.889,16.36769,7.0,23174.159,23.718737,10.0,88.248,0.0903218,1.0,3541.91,3.62515,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54794.52199999999,56.326509,35.0,97280.15299999999,99.99997610000001,54.0,15582.657,16.018324,7.0,23270.181,23.920779,10.0,96.253,0.0989441,1.0,3536.54,3.63542,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54926.12299999999,56.396645,35.0,97392.512,99.9999957,54.0,15720.562,16.141458,7.0,23101.958,23.720459999999996,10.0,96.129,0.0987027,1.0,3547.74,3.64273,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54897.552,56.167270999999985,35.0,97739.42199999999,100.000011,54.0,16061.608,16.433082,7.0,23160.018000000004,23.695675,10.0,101.124,0.103463,1.0,3519.12,3.60052,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54970.170999999995,56.25689499999999,35.0,97712.79599999997,100.00002099999999,54.0,16022.173,16.397193,7.0,23067.701,23.607677,10.0,99.741,0.102076,1.0,3553.01,3.63618,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54834.97299999998,56.38512200000001,35.0,97250.78000000001,100.00000659999999,54.0,15865.835000000001,16.314343,7.0,22908.725000000002,23.556355000000003,10.0,95.497,0.0981966,1.0,3545.75,3.64599,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54884.17699999999,56.20553600000001,35.0,97649.04500000001,100.000007,54.0,16250.09,16.641326,7.0,22868.981,23.419575,10.0,99.807,0.10221,1.0,3545.99,3.63136,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54876.07199999999,56.13005500000001,35.0,97765.95200000002,100.00001100000001,54.0,16195.32,16.565407,7.0,23064.472999999998,23.591514999999998,10.0,101.827,0.104154,1.0,3528.26,3.60888,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54970.54800000001,56.498635,35.0,97295.349,99.99999600000004,54.0,15536.144,15.968031999999997,7.0,23153.785,23.797421000000003,10.0,97.702,0.100418,1.0,3537.17,3.63549,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54949.57299999999,56.17705599999997,35.0,97814.92399999998,99.99997259999999,54.0,16036.576000000001,16.394816,7.0,23189.060999999998,23.707082,10.0,97.794,0.0999786,1.0,3541.92,3.62104,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54763.458000000006,56.647272999999984,35.0,96674.46699999999,99.999987,54.0,15536.964,16.071422,7.0,22764.481,23.547564,10.0,97.224,0.100568,1.0,3512.34,3.63316,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54804.00499999998,56.198052999999994,35.0,97519.403,100.00000299999999,54.0,15964.662,16.370761,7.0,23110.386,23.698238,10.0,97.52,0.100001,1.0,3542.83,3.63295,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
56352.826000000015,56.50483899999999,35.0,99731.00000000001,100.0000192,54.0,16509.911,16.554437,7.0,23248.876,23.311595,10.0,96.847,0.0971082,1.0,3522.54,3.53204,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
55034.38200000002,56.213061999999994,35.0,97903.193,100.0000079,54.0,16108.172,16.453177,7.0,23106.231,23.601100000000002,10.0,97.158,0.0992389,1.0,3557.25,3.63343,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
54987.91100000001,56.38417600000001,35.0,97523.68199999999,100.00000699999998,54.0,16039.091999999999,16.446345,7.0,22859.612,23.440063,10.0,100.277,0.102823,1.0,3536.79,3.6266,1.0,mobilenet_v2.onnx
0.0,nan,35.0,0.0,nan,54.0,0.0,nan,7.0,0.0,nan,10.0,0.0,nan,1.0,0.0,nan,1.0,mobilenet_v2.onnx
