aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
69170.9,1.71936,1.0,4023068.119,99.99999219000001,25.0,1668707.0999999996,41.478421000000004,15.0,4425.335,0.10999889000000002,5.0,40.444,0.0010053,1.0,2274580.0,56.53848,2.0,6144.34,0.152727,1.0,vgg19_bn.onnx
69213.9,1.72175,1.0,4019979.177,99.99996668000001,25.0,1668709.7000000002,41.510374,15.0,4458.781999999999,0.11091531,5.0,40.295,0.00100237,1.0,2271417.0,56.5032,2.0,6139.5,0.152725,1.0,vgg19_bn.onnx
79724.5,1.96027,1.0,4067013.7539999997,99.99995166900001,25.0,1690205.8000000003,41.55888099999999,15.0,4403.212,0.10826631,5.0,39.912,0.000981359,1.0,2286497.0,56.2205,2.0,6143.33,0.151053,1.0,vgg19_bn.onnx
69152.6,1.73048,1.0,3996148.0579999997,99.99997263,25.0,1657209.5,41.470138000000006,15.0,4439.281,0.11108871999999997,5.0,40.837,0.00102191,1.0,2259174.0,56.5338,2.0,6131.84,0.153444,1.0,vgg19_bn.onnx
69204.4,1.73763,1.0,3982695.818,99.99998022,25.0,1667196.5,41.860945,15.0,4425.817000000001,0.11112607000000001,5.0,40.311,0.00101215,1.0,2235684.0,56.13498,2.0,6144.79,0.154287,1.0,vgg19_bn.onnx
69177.0,1.72629,1.0,4007255.3560000006,99.99997228999999,25.0,1664936.9000000004,41.548050999999994,15.0,4413.729,0.11014344,5.0,40.227,0.00100385,1.0,2262539.0,56.46105,2.0,6148.5,0.153434,1.0,vgg19_bn.onnx
79764.8,1.96661,1.0,4055958.805,100.00000267100002,25.0,1688289.8,41.62496399999999,15.0,4445.877,0.10961364,5.0,40.358,0.000995031,1.0,2277274.0,56.14634,2.0,6143.97,0.15148,1.0,vgg19_bn.onnx
69114.4,1.72365,1.0,4009777.2930000005,100.00003534999999,25.0,1662051.2000000004,41.44998599999999,15.0,4445.588000000001,0.11086894,5.0,40.395,0.00100741,1.0,2267983.0,56.56133,2.0,6142.71,0.153193,1.0,vgg19_bn.onnx
69150.9,1.71925,1.0,4022148.739,99.99994775200001,25.0,1666293.3000000003,41.427957,15.0,4421.945,0.10993990999999999,5.0,40.014,0.000994842,1.0,2276117.0,56.58951,2.0,6125.58,0.152296,1.0,vgg19_bn.onnx
69276.7,1.71715,1.0,4034399.199,99.99996343000001,25.0,1668902.9000000001,41.366769,15.0,4439.597000000001,0.11004352,5.0,40.542,0.00100491,1.0,2285590.0,56.65257,2.0,6149.46,0.152426,1.0,vgg19_bn.onnx
79791.4,1.9677,1.0,4055068.966,99.99999099000001,25.0,1690506.4000000001,41.688730000000014,15.0,4435.723,0.10938714,5.0,41.153,0.00101485,1.0,2274159.0,56.08186,2.0,6135.29,0.151299,1.0,vgg19_bn.onnx
