aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_concatenatereshapetransposereshape,aggregated_percentage_concatenatereshapetransposereshape,aggregated_count_concatenatereshapetransposereshape,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_stridedsliceconcatenatereshapetransposereshape,aggregated_percentage_stridedsliceconcatenatereshapetransposereshape,aggregated_count_stridedsliceconcatenatereshapetransposereshape,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
47220.197000000015,79.95004800000001,37.0,59062.14700000004,100.00003849999997,88.0,373.825,0.632935,1.0,5865.654,9.931329999999999,19.0,432.399,0.732108,3.0,409.822,0.6938824999999998,13.0,1788.3690000000004,3.027942999999999,13.0,72.801,0.123262,1.0,2899.08,4.90853,1.0,shufflenet_v2_x1_0.onnx
48515.028999999995,80.34132500000001,37.0,60386.18799999998,100.00005719999997,88.0,371.379,0.615006,1.0,5899.249,9.769201,19.0,432.897,0.716881,3.0,407.633,0.6750432,13.0,1789.434,2.963317,13.0,73.577,0.121844,1.0,2896.99,4.79744,1.0,shufflenet_v2_x1_0.onnx
48522.547,80.35559999999997,37.0,60384.74900000001,99.9999604,88.0,370.844,0.614135,1.0,5893.994,9.760727,19.0,431.664,0.7148559999999999,3.0,412.3519999999999,0.6828744,13.0,1788.4460000000001,2.96175,13.0,72.732,0.120448,1.0,2892.17,4.78957,1.0,shufflenet_v2_x1_0.onnx
48601.952000000005,80.41430199999998,37.0,60439.45200000002,100.00000909999999,88.0,370.548,0.613089,1.0,5842.912000000001,9.667372,19.0,431.30400000000003,0.7136129999999999,3.0,411.83700000000005,0.6814041000000001,13.0,1788.7309999999998,2.959542,13.0,74.798,0.123757,1.0,2917.37,4.82693,1.0,shufflenet_v2_x1_0.onnx
47232.651999999995,79.877184,37.0,59131.58099999999,99.99998280000003,88.0,371.849,0.62885,1.0,5898.9529999999995,9.975978,19.0,431.89,0.730388,3.0,409.625,0.6927348,13.0,1785.761,3.0199759999999993,13.0,73.011,0.123472,1.0,2927.84,4.9514,1.0,shufflenet_v2_x1_0.onnx
48494.479,80.38574799999999,37.0,60327.20500000001,99.99998960000002,88.0,366.0,0.606692,1.0,5867.450999999999,9.726042,19.0,432.466,0.716868,3.0,409.58399999999995,0.6789376,13.0,1788.5039999999997,2.964672,13.0,75.801,0.12565,1.0,2892.92,4.79538,1.0,shufflenet_v2_x1_0.onnx
48715.28400000001,80.406528,37.0,60586.188,99.9999618,88.0,374.613,0.618315,1.0,5880.989,9.706823000000004,19.0,432.377,0.713657,3.0,406.32500000000005,0.6706568000000002,13.0,1788.807,2.952504,13.0,73.423,0.121188,1.0,2914.37,4.81029,1.0,shufflenet_v2_x1_0.onnx
48573.41299999999,80.37351999999998,37.0,60434.588,99.99999380000001,88.0,371.889,0.615358,1.0,5875.263000000002,9.721693999999996,19.0,431.215,0.7135239999999999,3.0,409.342,0.6773308,13.0,1788.7440000000001,2.9598020000000003,13.0,73.812,0.122135,1.0,2910.91,4.81663,1.0,shufflenet_v2_x1_0.onnx
47229.826,79.89906200000001,37.0,59111.88699999998,100.00003500000005,88.0,371.193,0.62795,1.0,5898.61,9.978726,19.0,433.394,0.733176,3.0,409.5159999999999,0.692781,13.0,1788.46,3.02555,13.0,74.428,0.12591,1.0,2906.46,4.91688,1.0,shufflenet_v2_x1_0.onnx
48747.09899999998,80.44423599999999,37.0,60597.392999999975,100.0000218,88.0,369.746,0.610169,1.0,5873.381,9.692464000000001,19.0,432.251,0.713316,3.0,412.949,0.6814638000000001,13.0,1788.5380000000002,2.951511,13.0,75.469,0.124542,1.0,2897.96,4.78232,1.0,shufflenet_v2_x1_0.onnx
48572.75700000001,80.35892499999999,37.0,60444.72100000001,99.99995560000004,88.0,373.603,0.61809,1.0,5884.233,9.734902000000002,19.0,433.291,0.716839,3.0,414.49100000000004,0.6857355999999999,13.0,1789.3709999999999,2.960344,13.0,74.045,0.1225,1.0,2902.93,4.80262,1.0,shufflenet_v2_x1_0.onnx
48635.477000000006,80.411193,37.0,60483.47600000003,100.00003469999997,88.0,370.496,0.612558,1.0,5899.660999999999,9.754178,19.0,431.483,0.713391,3.0,409.146,0.6764597,13.0,1789.5639999999999,2.958768,13.0,74.399,0.123007,1.0,2873.25,4.75048,1.0,shufflenet_v2_x1_0.onnx
47312.59599999999,79.96455499999998,37.0,59166.981999999975,100.00002700000002,88.0,372.612,0.629763,1.0,5883.404,9.943725999999998,19.0,432.428,0.7308600000000001,3.0,409.89199999999994,0.692771,13.0,1786.687,3.0197369999999997,13.0,71.613,0.121035,1.0,2897.75,4.89758,1.0,shufflenet_v2_x1_0.onnx
