aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransform,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransform,aggregated_count_nncontribconv2dwinogradwithoutweighttransform,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
559900.393,48.55227810000002,99.0,1153190.318,99.99995804,311.0,980.031,0.0849843,1.0,41102.78399999999,3.5642641399999997,95.0,456759.229,39.608291599999966,98.0,3753.3639999999996,0.3254765,7.0,83144.3,7.2099400000000005,3.0,1017.6799999999998,0.0882491,3.0,536.685,0.0465391,3.0,134.972,0.0117042,1.0,5860.88,0.508231,1.0,densenet201.onnx
554485.7080000001,48.55704329999999,99.0,1141926.0080000008,99.99996585000002,311.0,975.281,0.0854066,1.0,41046.96200000002,3.5945362499999995,95.0,452116.7970000001,39.59246789999998,98.0,3760.893,0.3293467,7.0,81996.4,7.180529999999999,3.0,1020.4459999999999,0.08936179999999999,3.0,535.44,0.0468891,3.0,132.831,0.0116322,1.0,5855.25,0.512752,1.0,densenet201.onnx
557209.062,48.3913751,99.0,1151463.3720000011,99.99997427999989,311.0,979.277,0.0850463,1.0,41089.553,3.5684633800000003,95.0,457606.6110000004,39.7413002,98.0,3747.487,0.3254543,7.0,83296.5,7.233960000000001,3.0,1007.6030000000001,0.0875063,3.0,538.3340000000001,0.046752100000000005,3.0,130.905,0.0113686,1.0,5858.04,0.508748,1.0,densenet201.onnx
557922.9619999999,48.63513239999998,99.0,1147161.335999999,100.00003967000002,311.0,973.691,0.0848783,1.0,41097.79099999999,3.58256457,95.0,454008.3319999999,39.57668360000002,98.0,3744.2200000000003,0.3263903,7.0,81873.7,7.13706,3.0,1019.8849999999999,0.0889052,3.0,528.6279999999999,0.046081399999999995,3.0,130.087,0.0113399,1.0,5862.04,0.511004,1.0,densenet201.onnx
560898.2639999997,48.64803409999999,99.0,1152971.7609999997,99.99995493000007,311.0,980.223,0.0850171,1.0,41083.51000000001,3.56326883,95.0,454847.70299999986,39.4500116,98.0,3750.676,0.3253056,7.0,83852.3,7.2726999999999995,3.0,1018.741,0.08835780000000001,3.0,542.997,0.0470954,3.0,132.897,0.0115265,1.0,5864.45,0.508638,1.0,densenet201.onnx
553465.2099999998,48.46532760000001,99.0,1141980.4020000002,99.99998667999999,311.0,978.263,0.0856638,1.0,41127.26099999999,3.6013983800000005,95.0,454030.166,39.7581664,98.0,3755.469,0.3288559,7.0,81070.7,7.09915,3.0,1027.6689999999999,0.0899901,3.0,536.877,0.0470128,3.0,130.867,0.0114597,1.0,5857.92,0.512962,1.0,densenet201.onnx
559786.971,48.622610800000025,99.0,1151289.7120000005,100.00000946999994,311.0,974.221,0.08462,1.0,41069.821999999986,3.567288970000001,95.0,456344.58599999984,39.63768600000003,98.0,3738.992,0.3247654,7.0,81847.20000000001,7.109170000000001,3.0,1005.8100000000001,0.08736379999999999,3.0,533.369,0.046327999999999994,3.0,130.861,0.0113665,1.0,5857.88,0.50881,1.0,densenet201.onnx
560544.0269999999,48.63906509999996,99.0,1152456.7939999998,100.00001868000011,311.0,974.519,0.0845601,1.0,41095.486999999994,3.5659013799999992,95.0,454119.25100000005,39.40446080000005,98.0,3753.4049999999997,0.3256873,7.0,84437.6,7.326739999999999,3.0,1013.5970000000001,0.0879509,3.0,536.598,0.0465612,3.0,131.39,0.0114009,1.0,5850.92,0.507691,1.0,densenet201.onnx
558833.752,48.46641280000001,99.0,1153033.6830000011,100.00004111000003,311.0,980.575,0.0850431,1.0,41103.245,3.56479331,95.0,458240.2840000001,39.74215350000001,98.0,3763.1949999999997,0.32637309999999997,7.0,82555.70000000001,7.15987,3.0,1018.0609999999999,0.08829419999999999,3.0,540.71,0.0468945,3.0,132.121,0.0114586,1.0,5866.04,0.508748,1.0,densenet201.onnx
558712.7219999998,48.64904120000003,99.0,1148456.0180000004,99.99998867999997,311.0,980.808,0.0854023,1.0,41091.220000000016,3.5779528800000002,95.0,454664.90599999996,39.5892171,98.0,3753.353,0.32681790000000005,7.0,81706.3,7.11444,3.0,1014.5360000000001,0.0883391,3.0,540.288,0.047044699999999995,3.0,133.135,0.0115925,1.0,5858.75,0.510141,1.0,densenet201.onnx
