aggregated_duration_nnconv2daddmultiplyaddclipmultiply,aggregated_percentage_nnconv2daddmultiplyaddclipmultiply,aggregated_count_nnconv2daddmultiplyaddclipmultiply,total_duration,total_percentage,total_count,aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,aggregated_duration_nnconv2daddadd,aggregated_percentage_nnconv2daddadd,aggregated_count_nnconv2daddadd,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnconv2daddaddclip,aggregated_percentage_nnconv2daddaddclip,aggregated_count_nnconv2daddaddclip,aggregated_duration_squeezeexpanddimsmultiply,aggregated_percentage_squeezeexpanddimsmultiply,aggregated_count_squeezeexpanddimsmultiply,aggregated_duration_squeezeexpanddimsmultiplylayouttransform,aggregated_percentage_squeezeexpanddimsmultiplylayouttransform,aggregated_count_squeezeexpanddimsmultiplylayouttransform,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,aggregated_duration_multiplyaddclipsqueezemultiply,aggregated_percentage_multiplyaddclipsqueezemultiply,aggregated_count_multiplyaddclipsqueezemultiply,label_model_name
27864.233000000004,31.869553000000003,20.0,87432.227,100.00002315000002,82.0,22619.807000000004,25.8712415,19.0,19618.051,22.438011000000003,10.0,5174.858,5.918706,5.0,726.5179999999999,0.8309491999999999,9.0,1995.6060000000002,2.2824607,8.0,332.68899999999996,0.38051075,6.0,555.405,0.635241,2.0,6556.969999999999,7.49949,2.0,1988.09,2.27386,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27937.63799999999,31.859361000000003,20.0,87690.556,100.00001367000006,82.0,22603.171,25.776063800000003,19.0,19852.585,22.639367,10.0,5168.324,5.893816999999999,5.0,729.2179999999998,0.8315815,9.0,1995.726,2.2758728,8.0,336.283,0.38348757,6.0,556.171,0.634243,2.0,6522.84,7.438470000000001,2.0,1988.6,2.26775,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27825.863000000005,31.863372000000005,20.0,87328.687,99.99998411,82.0,22615.375,25.8968372,19.0,19588.1,22.430309,10.0,5186.1990000000005,5.9387110000000005,5.0,718.003,0.8221841999999999,9.0,1984.649,2.2726194,8.0,334.99199999999996,0.38359831,6.0,548.9159999999999,0.628563,2.0,6540.88,7.48995,2.0,1985.71,2.27384,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27849.590999999997,31.822567000000003,20.0,87515.24200000004,100.00000594999997,82.0,22656.153,25.888235400000003,19.0,19717.089,22.529883,10.0,5163.483,5.900101,5.0,726.3009999999999,0.8299143000000001,9.0,1997.107,2.2820105999999996,8.0,333.53499999999997,0.38111565,6.0,553.883,0.632899,2.0,6527.85,7.4591,2.0,1990.25,2.27418,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27892.457000000002,31.861975,20.0,87541.52199999998,100.00000041000004,82.0,22697.763,25.927999099999997,19.0,19641.418999999998,22.436691000000003,10.0,5186.593,5.924715,5.0,727.34,0.8308518999999999,9.0,1975.43,2.2565624,8.0,330.42,0.37744401000000005,6.0,554.3499999999999,0.633242,2.0,6543.79,7.4750700000000005,2.0,1991.96,2.27545,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27768.602999999996,31.693696,20.0,87615.43800000001,99.99998541999993,82.0,22656.918000000005,25.859518299999994,19.0,19845.806,22.651056,10.0,5216.513,5.953875,5.0,732.2739999999999,0.8357817,9.0,1976.2359999999999,2.2555806,8.0,336.479,0.38404081999999995,6.0,552.299,0.630367,2.0,6542.73,7.46755,2.0,1987.58,2.26852,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
28061.285000000007,31.981626000000006,20.0,87741.86199999996,99.99996909000005,82.0,22596.846999999998,25.753767399999997,19.0,19756.725,22.516871,10.0,5194.369,5.920049000000001,5.0,726.6800000000001,0.8282017,9.0,1977.394,2.2536495000000003,8.0,336.155,0.38311749,6.0,552.2270000000001,0.6293770000000001,2.0,6552.21,7.4676,2.0,1987.97,2.26571,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
27799.367000000002,31.641857,20.0,87856.34100000001,100.00001217999998,82.0,22602.472,25.726627399999995,19.0,20139.782,22.923531,10.0,5165.647,5.879652,5.0,733.1990000000001,0.8345423000000001,9.0,1988.9189999999999,2.2638317,8.0,334.651,0.38090678,6.0,550.7139999999999,0.626834,2.0,6552.59,7.4583,2.0,1989.0,2.26393,1.0,mobilenet_v3_large.onnx
0.0,nan,20.0,0.0,nan,82.0,0.0,nan,19.0,0.0,nan,10.0,0.0,nan,5.0,0.0,nan,9.0,0.0,nan,8.0,0.0,nan,6.0,0.0,nan,2.0,0.0,nan,2.0,0.0,nan,1.0,mobilenet_v3_large.onnx
