aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
983295.9699999997,20.68866119999999,79.0,4752826.146000001,100.00000933000005,251.0,1467.76,0.0308818,1.0,43175.252,0.90841235,81.0,3715178.7000000025,78.16778720000003,81.0,1538.661,0.03237364,3.0,780.097,0.01641333,3.0,206.191,0.00433828,1.0,150.975,0.00317653,1.0,7032.54,0.147965,1.0,densenet161.onnx
973670.8400000001,19.8473032,79.0,4905806.244,99.99999765999996,251.0,1468.49,0.0299338,1.0,43135.72699999999,0.8792789899999999,81.0,3877820.3700000006,79.04553599999996,81.0,1537.58,0.03134204,3.0,775.5440000000001,0.01580869,3.0,204.818,0.00417501,1.0,149.035,0.00303793,1.0,7043.84,0.143582,1.0,densenet161.onnx
972817.9900000005,20.456861100000005,79.0,4755461.414999999,100.00000772000004,251.0,1470.68,0.0309261,1.0,43131.58,0.9069910099999999,81.0,3728186.12,78.39799359999996,81.0,1538.359,0.03234931,3.0,777.742,0.016354709999999998,3.0,204.92,0.00430915,1.0,151.354,0.00318274,1.0,7182.67,0.15104,1.0,densenet161.onnx
971529.1699999996,19.761774700000007,79.0,4916204.806,100.00002176000004,251.0,1464.0,0.0297791,1.0,43161.8,0.8779496200000001,81.0,3890221.559999999,79.13060229999999,81.0,1523.9850000000001,0.030999260000000004,3.0,762.4759999999999,0.01550944,3.0,206.066,0.00419157,1.0,148.999,0.00303077,1.0,7186.75,0.146185,1.0,densenet161.onnx
981990.0500000003,20.610563199999984,79.0,4764497.319000004,99.9999907200001,251.0,1468.28,0.0308171,1.0,43119.742999999995,0.9050219700000002,81.0,3728072.2799999993,78.24691510000004,81.0,1541.578,0.03235557,3.0,757.895,0.01590713,3.0,202.538,0.00425098,1.0,150.495,0.00315867,1.0,7194.46,0.151001,1.0,densenet161.onnx
973233.4400000001,19.789222499999994,79.0,4917998.248999998,100.00000643999994,251.0,1465.04,0.0297894,1.0,43152.02399999999,0.8774306699999999,81.0,3890290.489999999,79.10313169999996,81.0,1541.083,0.0313356,3.0,768.6089999999999,0.01562849,3.0,205.208,0.00417259,1.0,148.695,0.00302349,1.0,7193.66,0.146272,1.0,densenet161.onnx
975113.5800000001,20.58621309999999,79.0,4736729.715999995,99.99998991000005,251.0,1468.26,0.0309974,1.0,43077.96100000002,0.9094450899999998,81.0,3707370.4699999993,78.26856310000004,81.0,1527.627,0.03225063,3.0,773.2049999999999,0.0163236,3.0,204.003,0.00430683,1.0,150.02,0.00316716,1.0,7044.59,0.148723,1.0,densenet161.onnx
976732.1100000001,19.8580459,79.0,4918571.530999998,99.99999473,251.0,1461.03,0.0297043,1.0,43129.630999999994,0.8768726900000003,81.0,3887553.77,79.03826209999995,81.0,1524.645,0.03099773,3.0,771.9939999999999,0.01569549,3.0,204.916,0.00416617,1.0,149.345,0.00303635,1.0,7044.09,0.143214,1.0,densenet161.onnx
981657.1999999994,20.609226300000017,79.0,4763193.526999999,99.99999672999989,251.0,1466.34,0.0307849,1.0,43170.165000000015,0.9063283200000001,81.0,3727052.4300000006,78.246918,81.0,1539.616,0.032323160000000004,3.0,775.33,0.016277520000000004,3.0,204.558,0.00429456,1.0,150.468,0.00315897,1.0,7177.42,0.150685,1.0,densenet161.onnx
972929.8800000002,19.804909200000004,79.0,4912571.622999999,100.00000247999992,251.0,1466.36,0.0298491,1.0,43132.039000000004,0.8779934200000002,81.0,3885197.2600000016,79.08682429999998,81.0,1540.872,0.03136593,3.0,771.3739999999999,0.015702050000000002,3.0,197.236,0.00401492,1.0,151.482,0.00308356,1.0,7185.12,0.14626,1.0,densenet161.onnx
970756.6499999999,20.435551200000006,79.0,4750335.686000002,99.99999675999999,251.0,1470.3,0.0309514,1.0,43187.210000000014,0.9091401199999999,81.0,3725220.28,78.42013130000004,81.0,1539.8469999999998,0.032415530000000005,3.0,769.7539999999999,0.01620421,3.0,203.807,0.00429037,1.0,151.708,0.00319363,1.0,7036.13,0.148119,1.0,densenet161.onnx
974949.9099999996,19.828380900000013,79.0,4916939.7310000025,99.99998668999996,251.0,1469.3,0.0298823,1.0,43110.785,0.8767802400000003,81.0,3887557.8199999994,79.06457679999998,81.0,1544.5710000000001,0.03141329,3.0,773.8870000000001,0.015739200000000002,3.0,204.445,0.00415797,1.0,151.933,0.00308999,1.0,7177.08,0.145966,1.0,densenet161.onnx
982991.42,20.627038899999988,79.0,4765548.801999997,99.99998577000008,251.0,1467.69,0.0307979,1.0,43133.379000000015,0.9051087200000002,81.0,3728101.0499999993,78.2302378,81.0,1536.24,0.03223639,3.0,775.135,0.016265389999999998,3.0,203.721,0.00427487,1.0,152.917,0.0032088,1.0,7187.25,0.150817,1.0,densenet161.onnx
