aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddaddnnrelu,aggregated_duration_nnconv2dadd,aggregated_percentage_nnconv2dadd,aggregated_count_nnconv2dadd,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
307939.2,44.06056,4.0,698898.9639999999,99.99993544000002,39.0,976.07,0.139658,1.0,174890.33,25.02368,13.0,209148.27000000002,29.9254,16.0,4489.59,0.6423810000000001,3.0,41.294,0.00590844,1.0,1414.21,0.202348,1.0,resnet34.onnx
283282.66,41.85074,4.0,676886.9589999999,99.99996376000003,39.0,983.136,0.145244,1.0,177440.48000000004,26.214229999999997,13.0,209013.03,30.878569999999996,16.0,4703.139999999999,0.69482,3.0,42.033,0.00620976,1.0,1422.48,0.21015,1.0,resnet34.onnx
284883.3,42.06998,4.0,677163.9629999998,99.99995968,39.0,980.851,0.144847,1.0,177056.72000000003,26.146829999999998,13.0,208039.86,30.72224,16.0,4748.8099999999995,0.701281,3.0,42.842,0.00632668,1.0,1411.58,0.208455,1.0,resnet34.onnx
303400.25,43.48276,4.0,697748.2050000001,100.00001589,39.0,979.931,0.140442,1.0,176595.92,25.30942,13.0,210764.4,30.206379999999996,16.0,4552.59,0.652469,3.0,40.964,0.00587089,1.0,1414.15,0.202674,1.0,resnet34.onnx
310363.1,44.03109,4.0,704872.7649999999,100.00001773000001,39.0,977.559,0.138686,1.0,176053.14,24.976589999999998,13.0,211408.94999999995,29.992500000000007,16.0,4613.3,0.654487,3.0,42.516,0.00603173,1.0,1414.2,0.200633,1.0,resnet34.onnx
284284.9,41.94587,4.0,677743.858,100.00006837,39.0,979.906,0.144583,1.0,177282.57999999996,26.15775,13.0,209105.40999999997,30.853140000000003,16.0,4641.41,0.684832,3.0,41.982,0.00619437,1.0,1407.67,0.207699,1.0,resnet34.onnx
282102.6,41.85832,4.0,673946.0819999999,99.99999298000002,39.0,975.271,0.144711,1.0,176832.69000000003,26.23843,13.0,208100.94,30.877959999999998,16.0,4479.280000000001,0.664635,3.0,40.841,0.00605998,1.0,1414.46,0.209877,1.0,resnet34.onnx
303955.19999999995,43.57658,4.0,697518.8219999999,99.99991820999999,39.0,978.848,0.140333,1.0,176493.84,25.303069999999998,13.0,210143.58000000002,30.12729,16.0,4479.4400000000005,0.6421969999999999,3.0,42.864,0.00614521,1.0,1425.05,0.204303,1.0,resnet34.onnx
306088.05,43.86089,4.0,697860.6100000001,99.99999810000003,39.0,975.779,0.139824,1.0,175053.52999999994,25.084319999999995,13.0,209690.39999999997,30.047620000000002,16.0,4593.73,0.6582589999999999,3.0,41.991,0.0060171,1.0,1417.13,0.203068,1.0,resnet34.onnx
283462.19999999995,41.78594,4.0,678367.3340000003,100.00001418999999,39.0,980.214,0.144496,1.0,177777.22000000003,26.206650000000007,13.0,209838.28000000003,30.932840000000002,16.0,4853.780000000001,0.715508,3.0,42.06,0.00620019,1.0,1413.58,0.20838,1.0,resnet34.onnx
283725.0,41.97116,4.0,676000.0169999999,100.00003255,39.0,981.315,0.145165,1.0,177167.19999999998,26.20818,13.0,208242.48,30.805110000000006,16.0,4431.48,0.655544,3.0,42.132,0.00623255,1.0,1410.41,0.208641,1.0,resnet34.onnx
304572.6,43.51999,4.0,699845.5369999999,100.00000070000002,39.0,974.763,0.139283,1.0,177609.40000000002,25.37838,13.0,210584.82000000004,30.09016,16.0,4642.3099999999995,0.663335,3.0,40.274,0.0057547,1.0,1421.37,0.203098,1.0,resnet34.onnx
306896.6,43.91301,4.0,698874.797,100.0000509,39.0,985.09,0.140954,1.0,175063.10000000003,25.049299999999995,13.0,209777.69,30.016469999999998,16.0,4695.64,0.671886,3.0,42.407,0.0060679,1.0,1414.27,0.202363,1.0,resnet34.onnx
