aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_count_nncontribconv2dwinogradwithoutweighttransformaddnnrelu,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndenseaddnnrelu,aggregated_percentage_nndenseaddnnrelu,aggregated_count_nndenseaddnnrelu,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
56476.7,1.99566,1.0,2829981.5470000003,100.000035,17.0,4328.294999999999,0.15294454999999998,5.0,565351.5000000001,19.97721,7.0,41.302,0.00145945,1.0,2197654.0,77.65616,2.0,6129.75,0.216601,1.0,vgg11.onnx
62037.8,2.18987,1.0,2832948.217,100.00000766,17.0,4324.691,0.15265719,5.0,552766.9,19.51209,7.0,40.326,0.00142347,1.0,2207643.0,77.92739,2.0,6135.5,0.216577,1.0,vgg11.onnx
56497.9,2.01741,1.0,2800520.023,99.99997901000002,17.0,4313.4580000000005,0.15402324999999997,5.0,545960.2,19.494949999999996,7.0,40.965,0.00146276,1.0,2187560.0,78.11262,2.0,6147.5,0.219513,1.0,vgg11.onnx
56381.4,2.00197,1.0,2816289.352,100.00000302,17.0,4303.949,0.15282339,5.0,546878.4,19.41838,7.0,41.023,0.00145663,1.0,2202563.0,78.20800999999999,2.0,6121.58,0.217363,1.0,vgg11.onnx
56515.5,1.99881,1.0,2827462.234,99.99998002999999,17.0,4437.093,0.15692871,5.0,569634.8,20.14652,7.0,39.961,0.00141332,1.0,2190705.0,77.47950999999999,2.0,6129.88,0.216798,1.0,vgg11.onnx
62127.3,2.19141,1.0,2835039.295,100.0000546,17.0,4286.379,0.15119278,5.0,554270.7,19.550690000000003,7.0,40.706,0.00143582,1.0,2208143.0,77.88765,2.0,6171.21,0.217676,1.0,vgg11.onnx
56529.6,2.01542,1.0,2804852.615,100.00002537,17.0,4330.388000000001,0.15438896000000002,5.0,545788.3,19.45869,7.0,41.327,0.00147341,1.0,2192013.0,78.15079,2.0,6150.0,0.219263,1.0,vgg11.onnx
56521.0,1.99819,1.0,2828608.2660000003,99.9999578,17.0,4323.776,0.15285891,5.0,546927.2,19.335590000000003,7.0,40.05,0.00141589,1.0,2214623.0,78.29366,2.0,6173.24,0.218243,1.0,vgg11.onnx
56474.7,2.00738,1.0,2813351.804,99.99999658,17.0,4283.594,0.15225924,5.0,561168.2000000001,19.94659,7.0,40.1,0.00142534,1.0,2185227.0,77.67345,2.0,6158.21,0.218892,1.0,vgg11.onnx
62037.1,2.18391,1.0,2840644.188,100.00005128,17.0,4322.367,0.15216117,5.0,554484.7999999999,19.51969,7.0,39.971,0.00140711,1.0,2213611.0,77.92642,2.0,6148.95,0.216463,1.0,vgg11.onnx
