aggregated_duration_nnconv2daddnnrelu,aggregated_percentage_nnconv2daddnnrelu,aggregated_count_nnconv2daddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenateaddnnrelu,aggregated_percentage_concatenateaddnnrelu,aggregated_count_concatenateaddnnrelu,aggregated_duration_nncontribconv2dwinogradwithoutweighttransform,aggregated_percentage_nncontribconv2dwinogradwithoutweighttransform,aggregated_count_nncontribconv2dwinogradwithoutweighttransform,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
354569.8889999998,42.122952700000006,59.0,841748.9030000003,99.99997956999992,191.0,975.898,0.115937,1.0,6442.499,0.7653707199999997,24.0,412215.9249999999,48.9713924,58.0,12730.692999999996,1.5124102099999999,38.0,50341.4,5.98057,3.0,952.694,0.1131803,3.0,487.022,0.057858320000000005,3.0,73.383,0.00871792,1.0,2959.5,0.35159,1.0,densenet121.onnx
367426.17399999977,44.42912870000003,59.0,826994.5409999996,100.00002114,191.0,976.861,0.118122,1.0,6427.080999999999,0.7771613100000001,24.0,389223.8509999998,47.06484390000003,58.0,12735.886000000004,1.5400207900000003,38.0,45706.3,5.5268,3.0,950.396,0.11492169999999999,3.0,484.76099999999997,0.05861724,3.0,72.821,0.0088055,1.0,2990.41,0.3616,1.0,densenet121.onnx
353078.9730000002,42.09241500000002,59.0,838817.1370000009,99.99994804999994,191.0,978.065,0.116601,1.0,6437.873999999999,0.7674946999999998,24.0,412515.09,49.178207,58.0,12745.973999999998,1.5195178699999996,38.0,48558.2,5.78889,3.0,951.7520000000001,0.11346370000000001,3.0,485.186,0.05784173000000001,3.0,73.313,0.00874005,1.0,2992.71,0.356777,1.0,densenet121.onnx
356075.2310000001,43.522298699999986,59.0,818143.4799999994,99.99996163000004,191.0,976.818,0.119394,1.0,6440.389999999999,0.78719573,24.0,388167.9070000002,47.444990499999996,58.0,12736.003000000002,1.5566958799999997,38.0,49266.100000000006,6.02168,3.0,944.3839999999999,0.11543020000000001,3.0,495.36199999999997,0.06054703,3.0,73.875,0.00902959,1.0,2967.41,0.3627,1.0,densenet121.onnx
355057.563,42.16839229999999,59.0,842000.3940000002,100.00001146000004,191.0,969.612,0.115156,1.0,6440.124000000001,0.76486001,24.0,412605.59099999996,49.0029818,58.0,12734.899000000003,1.5124569499999994,38.0,49697.8,5.90234,3.0,954.241,0.1133302,3.0,496.563,0.05897425,3.0,73.161,0.00868895,1.0,2970.84,0.352831,1.0,densenet121.onnx
367708.179,44.1823777,59.0,832250.8650000008,99.99998192000001,191.0,972.117,0.116806,1.0,6439.717999999999,0.7737706899999999,24.0,390346.3759999999,46.90246590000001,58.0,12754.053999999996,1.5324756700000002,38.0,49561.6,5.9551300000000005,3.0,949.8669999999998,0.1141323,3.0,481.88199999999995,0.05790101,3.0,73.152,0.00878965,1.0,2963.92,0.356133,1.0,densenet121.onnx
355087.6070000002,42.15524020000001,59.0,842334.9689999992,100.00005972999995,191.0,966.277,0.114714,1.0,6456.972,0.7665560799999999,24.0,413831.80600000004,49.129102200000005,58.0,12752.767999999996,1.5139769399999998,38.0,48742.899999999994,5.78664,3.0,950.707,0.11286569999999999,3.0,494.72800000000007,0.05873293,3.0,74.704,0.00886868,1.0,2976.5,0.353363,1.0,densenet121.onnx
354466.64600000007,43.3601063,59.0,817493.5250000003,99.99998073999987,191.0,979.41,0.119807,1.0,6451.451000000001,0.7891752,24.0,388745.5040000002,47.553387100000016,58.0,12687.421,1.55199105,38.0,49667.5,6.07559,3.0,947.925,0.1159551,3.0,492.568,0.0602535,3.0,73.84,0.00903249,1.0,2981.26,0.364683,1.0,densenet121.onnx
354534.54199999996,42.30921989999999,59.0,837958.7930000004,99.99995085,191.0,977.789,0.116687,1.0,6427.0340000000015,0.76698749,24.0,411386.63300000015,49.09393809999999,58.0,12748.280000000002,1.5213491,38.0,47400.6,5.65667,3.0,946.5000000000001,0.11295320000000002,3.0,484.00300000000004,0.05775981,3.0,74.572,0.00889925,1.0,2978.84,0.355487,1.0,densenet121.onnx
366940.87899999984,44.28802879999999,59.0,828532.5490000006,99.9999808000001,191.0,975.502,0.117739,1.0,6428.083000000001,0.7758397300000001,24.0,388958.1759999998,46.945423299999995,58.0,12727.562999999996,1.5361569999999998,38.0,47986.4,5.791740000000001,3.0,948.7620000000001,0.1145112,3.0,487.531,0.05884271,3.0,74.063,0.00893906,1.0,3005.59,0.36276,1.0,densenet121.onnx
