Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,layout,out_layout
"float32[1, 96, 1, 1], float32[1, 96, 14, 14], float32[1, 96, 14, 14]",1,"opencl0",23.027,"c40e96183e410d50","tvmgen_default_fused_multiply_9",0.0616144,,,,
"float32[1, 96, 14, 14], float32[40, 96, 1, 1], float32[1, 40, 14, 14]",1,"opencl0",193.703,"ce41d441805df5bc","tvmgen_default_fused_nn_conv2d_15",0.5183,"NCHW","OIHW",,""
"float32[1, 40, 14, 14], float32[40], float32[1, 40, 14, 14]",1,"opencl0",11.289,"dc92fdefdf598184","tvmgen_default_fused_nn_bias_add_12",0.0302065,,,,
"float32[1, 40, 14, 14], float32[240, 40, 1, 1], float32[1, 240, 14, 14]",1,"opencl0",377.132,"9348ca97e46ed88d","tvmgen_default_fused_nn_conv2d_16",1.00911,"NCHW","OIHW",,""
"float32[1, 240, 14, 14], float32[240], float32[1, 240, 14, 14]",1,"opencl0",60.141,"be3f05c113a32e32","tvmgen_default_fused_nn_bias_add_13",0.160922,,,,
"float32[1, 240, 14, 14], float32[], float32[1, 240, 14, 14]",1,"opencl0",59.869,"0d30928b6f3ad8dd","tvmgen_default_fused_multiply_10",0.160194,,,,
"float32[1, 240, 14, 14], float32[], float32[1, 240, 14, 14]",1,"opencl0",62.59,"a2a0a32091c43e47","tvmgen_default_fused_add_6",0.167475,,,,
"float32[1, 240, 14, 14], float32[1, 240, 14, 14]",1,"opencl0",53.018,"681bc8d63bfa6067","tvmgen_default_fused_clip_5",0.141863,,,,
"float32[1, 240, 14, 14], float32[1, 240, 14, 14], float32[1, 240, 14, 14]",1,"opencl0",90.667,"4e7cd14b36485902","tvmgen_default_fused_multiply_11",0.242602,,,,
"float32[1, 240, 14, 14], float32[240, 1, 5, 5], float32[1, 240, 14, 14]",1,"opencl0",780.953,"a0cf8352760e21cc","tvmgen_default_fused_nn_conv2d_17",2.08963,"NCHW","OIHW",,""
"float32[1, 240, 14, 14], float32[240], float32[1, 240, 14, 14]",1,"opencl0",58.819,"be3f05c113a32e32","tvmgen_default_fused_nn_bias_add_13",0.157385,,,,
"float32[1, 240, 14, 14], float32[], float32[1, 240, 14, 14]",1,"opencl0",61,"0d30928b6f3ad8dd","tvmgen_default_fused_multiply_10",0.16322,,,,
"float32[1, 240, 14, 14], float32[], float32[1, 240, 14, 14]",1,"opencl0",62.417,"a2a0a32091c43e47","tvmgen_default_fused_add_6",0.167012,,,,
"float32[1, 240, 14, 14], float32[1, 240, 14, 14]",1,"opencl0",52.453,"681bc8d63bfa6067","tvmgen_default_fused_clip_5",0.140351,,,,
