Argument Shapes,Count,Device,Duration (us),Hash,Name,Percent,data_layout,kernel_layout,out_layout
"float32[1, 336, 14, 14], float32[336], float32[1, 336, 14, 14]",1,"opencl0",83.882,"9e82902862459f02","tvmgen_default_fused_nn_bias_add_10",0.0427954,,,
"float32[1, 336, 14, 14], float32[1, 336, 14, 14]",1,"opencl0",81.923,"1a3c6d8be691f61a","tvmgen_default_fused_nn_relu_7",0.0417959,,,
"float32[1, 336, 14, 14], float32[104, 336, 1, 1], float32[1, 104, 14, 14]",1,"opencl0",1659.44,"14e242ad8280f3f6","tvmgen_default_fused_nn_conv2d_16",0.846621,"NCHW","OIHW",""
"float32[1, 104, 14, 14], float32[104], float32[1, 104, 14, 14]",1,"opencl0",27.698,"bf2f3824c9f86ab3","tvmgen_default_fused_nn_bias_add_11",0.0141311,,,
"float32[1, 104, 14, 14], float32[624, 104, 1, 1], float32[1, 624, 14, 14]",1,"opencl0",1871.99,"1b024a86473e2bcc","tvmgen_default_fused_nn_conv2d_17",0.955062,"NCHW","OIHW",""
"float32[1, 624, 14, 14], float32[624], float32[1, 624, 14, 14]",1,"opencl0",156.636,"2264339443e2f675","tvmgen_default_fused_nn_bias_add_12",0.0799134,,,
"float32[1, 624, 14, 14], float32[1, 624, 14, 14]",1,"opencl0",146.248,"89cf9a8eeb284c0a","tvmgen_default_fused_nn_relu_8",0.0746136,,,
"float32[1, 624, 14, 14], float32[624, 1, 5, 5], float32[1, 624, 14, 14]",1,"opencl0",2017.44,"8e63e15a8aee3887","tvmgen_default_fused_nn_conv2d_18",1.02927,"NCHW","OIHW",""
"float32[1, 624, 14, 14], float32[624], float32[1, 624, 14, 14]",1,"opencl0",160.657,"2264339443e2f675","tvmgen_default_fused_nn_bias_add_12",0.0819648,,,
"float32[1, 624, 14, 14], float32[1, 624, 14, 14]",1,"opencl0",151.155,"89cf9a8eeb284c0a","tvmgen_default_fused_nn_relu_8",0.077117,,,
"float32[1, 624, 14, 14], float32[104, 624, 1, 1], float32[1, 104, 14, 14]",1,"opencl0",3102.51,"43c6af025f919962","tvmgen_default_fused_nn_conv2d_19",1.58285,"NCHW","OIHW",""
"float32[1, 104, 14, 14], float32[104], float32[1, 104, 14, 14]",1,"opencl0",25.22,"bf2f3824c9f86ab3","tvmgen_default_fused_nn_bias_add_11",0.0128669,,,
"float32[1, 104, 14, 14], float32[1, 104, 14, 14], float32[1, 104, 14, 14]",1,"opencl0",36.957,"7426bee33213f433","tvmgen_default_fused_add_2",0.0188549,,,
