aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,label_model_name
55794.570999999996,81.75294200000003,56.0,68247.828,100.00004918000006,211.0,2826.4089999999987,4.141390000000001,56.0,2059.9730000000004,3.018370599999999,37.0,386.306,0.566034,1.0,1233.7669999999998,1.8077727000000001,16.0,1910.5179999999998,2.7993827000000002,16.0,911.8460000000005,1.3360806,26.0,83.101,0.121764,1.0,3037.8,4.45113,1.0,3.537,0.00518258,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55882.989,81.86196699999998,56.0,68264.91699999996,100.0000267,211.0,2709.9640000000004,3.9697754999999986,56.0,2029.3399999999997,2.9727437000000014,37.0,387.334,0.567398,1.0,1229.6250000000002,1.8012546000000003,16.0,1905.7630000000004,2.7917175999999997,16.0,918.4519999999998,1.3454230999999999,26.0,80.03,0.117234,1.0,3117.24,4.56639,1.0,4.18,0.0061232,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55613.23200000002,81.74887299999999,56.0,68029.36800000002,100.00000030000004,211.0,2753.0899999999992,4.0469116000000005,56.0,2050.9040000000005,3.014732399999999,37.0,384.065,0.564557,1.0,1237.408,1.8189311000000001,16.0,1903.9000000000003,2.7986418,16.0,916.1979999999998,1.3467680999999998,26.0,80.698,0.118622,1.0,3085.34,4.5353,1.0,4.533,0.0066633,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55714.691999999995,81.72142599999997,56.0,68176.37499999996,100.00002748000001,211.0,2786.8849999999993,4.087759699999999,56.0,2037.7759999999998,2.9889783,37.0,382.978,0.561746,1.0,1231.499,1.8063432999999998,16.0,1906.9179999999997,2.7970381,16.0,908.57,1.3326767999999998,26.0,80.933,0.118711,1.0,3122.58,4.58015,1.0,3.544,0.00519828,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55724.90799999999,81.728371,56.0,68183.03599999998,99.99996868999999,211.0,2790.318999999999,4.0923957,56.0,2050.413,3.0072194999999993,37.0,389.916,0.571867,1.0,1224.37,1.7957108,16.0,1908.973,2.7997781,16.0,905.1500000000001,1.3275301000000002,26.0,80.78,0.118475,1.0,3104.04,4.55251,1.0,4.167,0.00611149,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55650.782,81.682316,56.0,68130.73700000001,99.99998362999999,211.0,2796.394999999998,4.104455099999999,56.0,2052.782,3.0130047999999996,37.0,386.664,0.567532,1.0,1218.625,1.7886566000000004,16.0,1909.7630000000004,2.8030867,16.0,910.5400000000002,1.3364595999999997,26.0,80.104,0.117574,1.0,3121.54,4.5817,1.0,3.542,0.00519883,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
55775.42099999999,81.72122,56.0,68250.83300000001,99.99998641000005,211.0,2804.1390000000006,4.108580700000001,56.0,2057.4290000000005,3.0145120999999997,37.0,387.081,0.567145,1.0,1240.25,1.8171947000000004,16.0,1909.1920000000002,2.797319,16.0,899.6200000000001,1.3181089,26.0,80.431,0.117846,1.0,3093.68,4.5328,1.0,3.59,0.00526001,1.0,shufflenet_v2_x1_0.onnx
0.0,nan,56.0,0.0,nan,211.0,0.0,nan,56.0,0.0,nan,37.0,0.0,nan,1.0,0.0,nan,16.0,0.0,nan,16.0,0.0,nan,26.0,0.0,nan,1.0,0.0,nan,1.0,0.0,nan,1.0,shufflenet_v2_x1_0.onnx
