aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_nnbiasadd,aggregated_percentage_nnbiasadd,aggregated_count_nnbiasadd,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenate,aggregated_percentage_concatenate,aggregated_count_concatenate,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_mean,aggregated_percentage_mean,aggregated_count_mean,aggregated_duration_transpose,aggregated_percentage_transpose,aggregated_count_transpose,aggregated_duration_stridedslice,aggregated_percentage_stridedslice,aggregated_count_stridedslice,aggregated_duration_clip,aggregated_percentage_clip,aggregated_count_clip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad
21848.495000000014,81.32827399999998,56.0,26864.560000000005,99.99998402999992,211.0,1549.0500000000004,5.766156500000001,56.0,1158.2319999999995,4.311384300000001,37.0,389.758,1.45083,1.0,511.268,1.9031334,16.0,0.0,0.0,0.0,shufflenet_v2_x0_5.onnx,0.0,0.0,0.0,109.318,0.406923,1.0,2.021,0.00752293,1.0,79.986,0.297738,1.0,805.4949999999999,2.9983584,16.0,410.93700000000007,1.5296635,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21642.930000000008,81.17099900000001,56.0,26663.380000000023,100.00003412,211.0,1548.869,5.808983100000001,56.0,1168.0030000000002,4.380555500000001,37.0,391.882,1.46974,1.0,503.773,1.8893855,16.0,0.0,0.0,0.0,shufflenet_v2_x0_5.onnx,0.0,0.0,0.0,108.669,0.40756,1.0,2.059,0.00772222,1.0,76.933,0.288535,1.0,806.715,3.0255591,16.0,413.547,1.5509946999999995,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21662.810000000005,81.128811,56.0,26701.733,99.99999152,211.0,1549.6170000000006,5.8034407,56.0,1173.727,4.395702799999999,37.0,394.495,1.47742,1.0,510.676,1.9125235000000005,16.0,0.0,0.0,0.0,shufflenet_v2_x0_5.onnx,0.0,0.0,0.0,109.543,0.410247,1.0,1.826,0.00683852,1.0,81.753,0.306172,1.0,806.039,3.0186822,16.0,411.247,1.5401538,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21591.56499999999,81.08539900000002,56.0,26628.18299999999,99.99998973999992,211.0,1542.0689999999988,5.7911135000000025,56.0,1170.9259999999997,4.3973119,37.0,392.003,1.47213,1.0,515.1790000000001,1.9347114,16.0,0.0,0.0,0.0,shufflenet_v2_x0_5.onnx,0.0,0.0,0.0,112.754,0.423438,1.0,1.715,0.00644054,1.0,82.058,0.308162,1.0,809.0619999999999,3.0383639,16.0,410.8519999999999,1.5429194999999998,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21739.725999999995,81.23646200000002,56.0,26761.041999999998,100.00002168000007,211.0,1544.485,5.771401,56.0,1161.996,4.342125,37.0,390.531,1.45933,1.0,509.893,1.9053598,16.0,0.0,0.0,0.0,shufflenet_v2_x0_5.onnx,0.0,0.0,0.0,112.335,0.419771,1.0,1.764,0.00659168,1.0,80.686,0.301506,1.0,809.53,3.0250363999999994,16.0,410.09600000000006,1.5324388000000002,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6953843.990000001,99.1625238,53.0,7012574.986000002,100.0000331415,175.0,23347.891,0.33294301,53.0,20078.417,0.2863200639999999,49.0,1019.41,0.0145369,1.0,0.0,0.0,0.0,150.398,0.00214469,1.0,wide_resnet50_2.onnx,0.0,0.0,0.0,141.706,0.00202074,1.0,13993.173999999995,0.1995439375,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6921441.89,99.1565806,53.0,6980318.119000002,100.0000412098,175.0,23420.67100000001,0.3355243979999999,53.0,20001.563,0.286542293,49.0,1018.62,0.0145928,1.0,0.0,0.0,0.0,150.643,0.00215811,1.0,wide_resnet50_2.onnx,0.0,0.0,0.0,143.911,0.00206167,1.0,14140.821,0.2025813388,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6936439.83,99.1577135,53.0,6995358.291999999,99.99996418260004,175.0,23223.634,0.33198643,53.0,20274.085000000003,0.2898220319999999,49.0,1024.47,0.014645,1.0,0.0,0.0,0.0,151.581,0.00216688,1.0,wide_resnet50_2.onnx,0.0,0.0,0.0,143.412,0.0020501,1.0,14101.280000000002,0.2015802406,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6908535.509999998,99.15924849999998,53.0,6967105.0,99.99990577189996,175.0,23192.044,0.3328789959999999,53.0,20052.847999999994,0.2878218059999999,49.0,1019.88,0.0146386,1.0,0.0,0.0,0.0,150.046,0.00215364,1.0,wide_resnet50_2.onnx,0.0,0.0,0.0,142.655,0.00204755,1.0,14012.017,0.2011166799,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6941188.12,99.15698910000002,53.0,7000203.748000003,100.0000447103,175.0,23386.968999999997,0.33408962,53.0,20118.210000000006,0.2873945599999999,49.0,1024.72,0.0146384,1.0,0.0,0.0,0.0,148.819,0.00212592,1.0,wide_resnet50_2.onnx,0.0,0.0,0.0,142.564,0.00203657,1.0,14194.346,0.2027705403,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
