aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,total_duration,total_percentage,total_count,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_concatenatemultiplyaddnnrelu,aggregated_percentage_concatenatemultiplyaddnnrelu,aggregated_count_concatenatemultiplyaddnnrelu,aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,aggregated_duration_nnpad,aggregated_percentage_nnpad,aggregated_count_nnpad,aggregated_duration_nnavgpool2d,aggregated_percentage_nnavgpool2d,aggregated_count_nnavgpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
365100.87499999994,39.594372699999994,59.0,922102.7130000003,100.00004910000007,191.0,982.9,0.106593,1.0,19315.050999999985,2.0946750599999997,62.0,531921.5749999998,57.68577599999998,61.0,905.5699999999999,0.0982071,3.0,471.94,0.05118091,3.0,75.182,0.00815333,1.0,3329.62,0.361091,1.0,densenet121.onnx
365367.09800000006,39.737491000000006,59.0,919450.6389999999,99.99993552000007,191.0,973.128,0.105838,1.0,19311.718,2.10035443,62.0,528995.7489999998,57.533881,61.0,897.623,0.097626,3.0,497.559,0.0541149,3.0,74.514,0.00810419,1.0,3333.25,0.362526,1.0,densenet121.onnx
364541.29600000003,39.571947599999994,59.0,921212.3429999996,100.00004010999997,191.0,979.482,0.106325,1.0,19318.238999999998,2.0970434200000003,62.0,531545.7349999998,57.700677,61.0,909.665,0.0987464,3.0,494.187,0.05364522,3.0,74.079,0.00804147,1.0,3349.66,0.363614,1.0,densenet121.onnx
371238.55600000004,40.16354090000002,59.0,924316.8589999996,100.0000083,191.0,979.798,0.106002,1.0,19313.52,2.0894921099999992,62.0,527975.0959999998,57.120601000000015,61.0,911.1709999999999,0.0985778,3.0,484.395,0.05240573,3.0,73.823,0.00798676,1.0,3340.5,0.361402,1.0,densenet121.onnx
364148.05199999997,39.40274040000002,59.0,924169.7950000003,100.00004186000001,191.0,979.936,0.106034,1.0,19289.914999999994,2.0872691100000003,62.0,534919.146,57.88107000000003,61.0,912.5999999999999,0.0987481,3.0,485.519,0.05253562,3.0,74.457,0.00805663,1.0,3360.17,0.363588,1.0,densenet121.onnx
365414.1380000001,39.72323589999999,59.0,919901.5810000004,100.00002733,191.0,981.546,0.106701,1.0,19314.629,2.09964064,62.0,529412.7250000001,57.550988,61.0,904.1490000000001,0.09828759999999999,3.0,488.37800000000004,0.05309022,3.0,72.396,0.00786997,1.0,3313.62,0.360214,1.0,densenet121.onnx
366530.7400000002,39.688815399999996,59.0,923510.67,99.99998190000014,191.0,983.103,0.106453,1.0,19294.08399999999,2.0892118000000006,62.0,531914.4770000001,57.597017000000015,61.0,910.105,0.0985484,3.0,485.849,0.052608919999999997,3.0,75.482,0.00817338,1.0,3316.83,0.359154,1.0,densenet121.onnx
371873.09199999995,40.13849,59.0,926475.2410000009,99.99997452999995,191.0,981.271,0.105914,1.0,19278.840000000007,2.0808789299999995,62.0,529561.738,57.158725000000025,61.0,915.064,0.0987683,3.0,487.88599999999997,0.05266044,3.0,73.32,0.00791386,1.0,3304.03,0.356624,1.0,densenet121.onnx
365345.17799999996,39.49225899999998,59.0,925106.8200000002,100.00004854999995,191.0,978.247,0.105744,1.0,19279.691000000003,2.0840499100000005,62.0,534735.5940000002,57.80258399999999,61.0,912.051,0.0985887,3.0,486.825,0.05262365,3.0,73.854,0.00798329,1.0,3295.38,0.356216,1.0,densenet121.onnx
365368.47800000035,39.897782899999996,59.0,915761.3539999996,100.00003249000004,191.0,984.974,0.107558,1.0,19282.993000000006,2.1056796100000006,62.0,525313.7969999998,57.363644,61.0,915.753,0.09999910000000001,3.0,488.12800000000004,0.05330299000000001,3.0,73.031,0.00797489,1.0,3334.2,0.364091,1.0,densenet121.onnx
365178.78099999996,39.551017500000015,59.0,923310.3000000004,99.99997841000001,191.0,979.891,0.106128,1.0,19307.044999999995,2.09106851,62.0,533055.5499999998,57.73308299999999,61.0,909.51,0.0985053,3.0,489.84200000000004,0.05305277,3.0,74.071,0.00802233,1.0,3315.61,0.359101,1.0,densenet121.onnx
370186.75900000014,40.05955739999999,59.0,924090.1149999996,99.99998145999994,191.0,978.765,0.105917,1.0,19311.529000000006,2.0897889200000006,62.0,528730.0290000001,57.216303,61.0,907.446,0.0981988,3.0,490.517,0.05308105,3.0,74.78,0.00809229,1.0,3410.29,0.369043,1.0,densenet121.onnx
363312.06100000005,39.36915439999999,59.0,922833.7680000002,99.99994493,191.0,977.596,0.105934,1.0,19296.173999999988,2.090967950000001,62.0,534441.5760000001,57.91306299999999,61.0,912.578,0.0988887,3.0,488.717,0.05295825,3.0,75.226,0.00815163,1.0,3329.84,0.360827,1.0,densenet121.onnx
364513.3520000001,39.58463390000001,59.0,920845.3079999998,100.00001253000003,191.0,975.892,0.105978,1.0,19307.945999999993,2.0967641600000007,62.0,531253.582,57.69196900000001,61.0,911.0959999999999,0.0989412,3.0,494.231,0.053671510000000006,3.0,74.089,0.00804576,1.0,3315.12,0.360009,1.0,densenet121.onnx
363888.89100000006,39.45614319999999,59.0,922262.2779999991,99.99999997000012,191.0,978.73,0.106123,1.0,19288.929,2.0914787799999996,62.0,533319.4459999999,57.827282999999994,61.0,906.021,0.098239,3.0,486.836,0.052787230000000004,3.0,72.875,0.00790176,1.0,3320.55,0.360044,1.0,densenet121.onnx
370925.04300000006,40.106377000000016,59.0,924854.0850000002,100.00000956000001,191.0,981.807,0.106158,1.0,19279.502999999993,2.0845981199999994,62.0,528865.2260000001,57.18360399999999,61.0,913.193,0.0987391,3.0,491.356,0.05312794,3.0,74.177,0.0080204,1.0,3323.78,0.359385,1.0,densenet121.onnx
