aggregated_duration_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclipmultiply,aggregated_count_nnconv2dnnbiasaddmultiplyaddclipmultiply,total_duration,total_percentage,total_count,aggregated_duration_nnconv2dnnbiasaddnnrelu,aggregated_percentage_nnconv2dnnbiasaddnnrelu,aggregated_count_nnconv2dnnbiasaddnnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nnconv2dnnbiasaddmultiplyaddclip,aggregated_percentage_nnconv2dnnbiasaddmultiplyaddclip,aggregated_count_nnconv2dnnbiasaddmultiplyaddclip,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_nnconv2dnnbiasadd,aggregated_percentage_nnconv2dnnbiasadd,aggregated_count_nnconv2dnnbiasadd,aggregated_duration_nnconv2dnnbiasaddadd,aggregated_percentage_nnconv2dnnbiasaddadd,aggregated_count_nnconv2dnnbiasaddadd,aggregated_duration_nndenseaddmultiplyaddclipmultiply,aggregated_percentage_nndenseaddmultiplyaddclipmultiply,aggregated_count_nndenseaddmultiplyaddclipmultiply,aggregated_duration_nndenseadd,aggregated_percentage_nndenseadd,aggregated_count_nndenseadd,label_model_name
15656.311000000002,50.878933999999994,18.0,30771.685000000005,99.99997730000001,73.0,4942.388000000001,16.0614785,14.0,441.45500000000004,1.4346139999999996,10.0,618.944,2.0114074,9.0,361.1260000000001,1.1735643999999998,9.0,1482.615,4.818109,5.0,3159.036,10.26604,6.0,1098.45,3.56968,1.0,3011.36,9.78615,1.0,mobilenet_v3_small.onnx
15736.077000000001,50.956964,18.0,30881.127000000008,100.00001310000002,73.0,4996.750000000001,16.1805856,14.0,443.486,1.4361072999999998,10.0,610.037,1.9754360000000002,9.0,364.047,1.1788662,9.0,1481.875,4.798644,5.0,3145.045,10.18436,6.0,1103.07,3.57197,1.0,3000.74,9.71708,1.0,mobilenet_v3_small.onnx
15239.324,50.186495999999984,18.0,30365.386,99.99997130000003,73.0,4955.163,16.318450900000002,14.0,441.96500000000003,1.4554886,10.0,612.87,2.0183185,9.0,362.158,1.1926672999999999,9.0,1492.348,4.91463,5.0,3170.858,10.44234,6.0,1105.03,3.63911,1.0,2985.67,9.83247,1.0,mobilenet_v3_small.onnx
15828.992,51.153489,18.0,30944.109000000004,100.00002430000002,73.0,4941.217000000001,15.968201200000003,14.0,439.043,1.4188259999999997,10.0,614.086,1.9845016000000002,9.0,361.36,1.1677825,9.0,1469.459,4.748754,5.0,3166.422,10.23272,6.0,1103.87,3.5673,1.0,3019.66,9.75845,1.0,mobilenet_v3_small.onnx
15803.925999999996,51.118799,18.0,30916.061000000005,99.9999849,73.0,4960.332,16.044528600000003,14.0,436.328,1.4113302,10.0,612.227,1.9802875000000002,9.0,365.19800000000004,1.1812556,9.0,1484.626,4.8021139999999995,5.0,3155.8839999999996,10.20791,6.0,1098.88,3.55441,1.0,2998.66,9.69935,1.0,mobilenet_v3_small.onnx
15773.737000000001,51.049215999999994,18.0,30899.079000000005,99.99999440000002,73.0,4954.1269999999995,16.0332476,14.0,439.042,1.4208914000000001,10.0,614.241,1.9878951,9.0,366.256,1.1853303,9.0,1491.29,4.826334,5.0,3150.2559999999994,10.195310000000001,6.0,1102.92,3.56941,1.0,3007.21,9.73236,1.0,mobilenet_v3_small.onnx
15132.043,50.035843,18.0,30242.394000000008,99.99996720000003,73.0,4949.023999999999,16.3645375,14.0,443.93600000000004,1.467925,10.0,602.295,1.9915576000000001,9.0,362.008,1.1970220999999999,9.0,1491.011,4.9302019999999995,5.0,3139.967,10.382660000000001,6.0,1102.94,3.647,1.0,3019.17,9.98322,1.0,mobilenet_v3_small.onnx
15688.706999999999,50.97790199999999,18.0,30775.469999999998,99.99993939999999,73.0,4941.608,16.0569677,14.0,433.12600000000003,1.4073740000000001,10.0,610.712,1.9844112,9.0,361.68,1.1752215000000001,9.0,1474.5059999999999,4.791173,5.0,3146.411,10.22376,6.0,1104.77,3.58977,1.0,3013.95,9.79336,1.0,mobilenet_v3_small.onnx
15805.944000000003,51.07576400000001,18.0,30946.045,99.9999533,73.0,4971.190999999999,16.064050199999997,14.0,440.657,1.4239522,10.0,615.043,1.9874679999999998,9.0,360.5200000000001,1.1649959,9.0,1479.341,4.780393,5.0,3148.719,10.17487,6.0,1114.42,3.60116,1.0,3010.21,9.7273,1.0,mobilenet_v3_small.onnx
15733.538,50.933462999999996,18.0,30890.38300000001,99.99999449999999,73.0,5007.494,16.210515299999997,14.0,446.407,1.4451316,10.0,613.702,1.9867087,9.0,362.72900000000004,1.1742449000000001,9.0,1486.839,4.813271,5.0,3155.514,10.2152,6.0,1100.99,3.56418,1.0,2983.17,9.65728,1.0,mobilenet_v3_small.onnx
15217.937000000002,50.082021000000005,18.0,30385.995999999985,99.99996949999998,73.0,5001.789000000001,16.460856,14.0,436.04400000000004,1.4350171,10.0,615.2049999999999,2.0246337,9.0,361.121,1.1884457000000002,9.0,1490.923,4.906606,5.0,3158.177,10.39353,6.0,1103.38,3.63123,1.0,3001.42,9.87763,1.0,mobilenet_v3_small.onnx
15754.541000000001,51.102524,18.0,30829.295999999995,100.00004920000003,73.0,4936.7029999999995,16.013036,14.0,439.226,1.424703,10.0,615.047,1.9950071,9.0,363.22499999999997,1.1781811,9.0,1474.358,4.782328000000001,5.0,3163.076,10.259970000000001,6.0,1101.08,3.57155,1.0,2982.04,9.67275,1.0,mobilenet_v3_small.onnx
15716.712999999998,50.903985000000006,18.0,30875.185000000005,99.99995520000002,73.0,4989.3949999999995,16.159897,14.0,440.48,1.4266462000000002,10.0,608.054,1.9693931,9.0,361.736,1.1716079000000001,9.0,1483.203,4.803866,5.0,3164.1040000000003,10.24805,6.0,1119.41,3.6256,1.0,2992.09,9.69091,1.0,mobilenet_v3_small.onnx
15735.841,50.882716999999985,18.0,30925.696999999986,100.0,73.0,5034.593000000001,16.2796649,14.0,443.26700000000005,1.4333289999999999,10.0,614.362,1.9865754,9.0,359.97799999999995,1.1640097000000003,9.0,1495.0860000000002,4.834444,5.0,3142.17,10.16039,6.0,1106.02,3.57637,1.0,2994.38,9.6825,1.0,mobilenet_v3_small.onnx
15237.42,50.17154899999999,18.0,30370.631,99.9999406,73.0,4965.2080000000005,16.348676599999997,14.0,436.35600000000005,1.4367687,10.0,612.8140000000001,2.0177855,9.0,360.88800000000003,1.1882798,9.0,1483.945,4.886120999999999,5.0,3145.96,10.35856,6.0,1106.87,3.64454,1.0,3021.17,9.94766,1.0,mobilenet_v3_small.onnx
