aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,label_model_name
128039.46000000002,74.898773,54.0,170949.96700000003,99.99997947700001,525.0,15349.341000000004,8.978847143,169.0,124.86099999999998,0.07303950299999999,53.0,14577.128000000002,8.527133637000002,159.0,116.34700000000002,0.068059094,53.0,12642.209,7.395267199999999,36.0,100.621,0.0588599,1.0,mobilenetv2-7.onnx
128624.18399999998,74.86835000000004,54.0,171800.46899999992,99.999985622,525.0,15172.642000000005,8.831547248999994,169.0,119.27100000000002,0.069424131,53.0,14670.448999999999,8.539232134999994,159.0,112.74600000000002,0.065626107,53.0,13004.231,7.569376599999999,36.0,96.946,0.0564294,1.0,mobilenetv2-7.onnx
128779.15099999998,75.063489,54.0,171560.2819999998,99.99998267999979,525.0,15513.737000000003,9.042730102000009,169.0,122.55400000000003,0.07143498000000002,53.0,14382.946,8.383602634,159.0,118.24700000000001,0.06892446399999998,53.0,12550.412,7.3154562,36.0,93.235,0.0543453,1.0,mobilenetv2-7.onnx
129080.48600000003,74.994535,54.0,172119.82000000018,99.999982743,525.0,15232.299999999994,8.849824516,169.0,126.539,0.07351796000000001,53.0,14481.518000000002,8.413624682000005,159.0,114.47999999999998,0.066511785,53.0,12981.847999999998,7.5423307,36.0,102.649,0.0596381,1.0,mobilenetv2-7.onnx
129032.82299999997,74.91745,54.0,172233.25599999988,99.99996314600004,525.0,15423.030999999995,8.954737135999999,169.0,122.51699999999997,0.07113436800000002,53.0,14584.400000000007,8.467817063999997,159.0,117.12200000000003,0.068001978,53.0,12855.623999999998,7.464074600000001,36.0,97.739,0.056748,1.0,mobilenetv2-7.onnx
129830.49900000001,74.97349799999999,54.0,173168.5819999999,100.00001865199998,525.0,15249.049999999997,8.805897642999994,169.0,119.19000000000001,0.06882890800000001,53.0,14655.870999999992,8.463353378000004,159.0,117.727,0.067984023,53.0,13095.717999999997,7.5624052,36.0,100.527,0.0580515,1.0,mobilenetv2-7.onnx
128451.39800000003,74.759921,54.0,171818.542,99.999996281,525.0,15510.713999999996,9.027374267000008,169.0,119.73400000000002,0.06968632,53.0,14607.794999999998,8.501871614999994,159.0,115.39500000000002,0.06716097900000001,53.0,12915.471999999994,7.516925399999999,36.0,98.034,0.0570567,1.0,mobilenetv2-7.onnx
129403.65899999997,74.96771599999998,54.0,172612.476,99.99997869300002,525.0,15232.787999999993,8.824844252000004,169.0,120.98399999999998,0.070089944,53.0,14634.377000000002,8.478166642000001,159.0,117.17300000000002,0.06788215500000001,53.0,13003.836,7.533543999999998,36.0,99.659,0.0577357,1.0,mobilenetv2-7.onnx
128122.15300000003,74.82508099999998,54.0,171228.93800000008,100.00001814399998,525.0,15363.735999999995,8.972620506999997,169.0,120.24300000000001,0.07022351499999999,53.0,14524.912999999997,8.482745114,159.0,116.152,0.06783430799999998,53.0,12882.979000000003,7.5238354,36.0,98.762,0.0576783,1.0,mobilenetv2-7.onnx
129576.28799999999,74.85015100000001,54.0,173114.18199999983,99.99996367500003,525.0,15462.596999999998,8.932023842999998,169.0,121.876,0.07040212699999998,53.0,14792.36,8.544854837999994,159.0,117.37500000000004,0.06780206700000002,53.0,12942.938,7.476532400000001,36.0,100.748,0.0581974,1.0,mobilenetv2-7.onnx
