aggregated_duration_nnconv2d,aggregated_percentage_nnconv2d,aggregated_count_nnconv2d,total_duration,total_percentage,total_count,aggregated_duration_add,aggregated_percentage_add,aggregated_count_add,aggregated_duration_rsqrt,aggregated_percentage_rsqrt,aggregated_count_rsqrt,aggregated_duration_multiply,aggregated_percentage_multiply,aggregated_count_multiply,aggregated_duration_negative,aggregated_percentage_negative,aggregated_count_negative,aggregated_duration_nnrelu,aggregated_percentage_nnrelu,aggregated_count_nnrelu,aggregated_duration_nnmaxpool2d,aggregated_percentage_nnmaxpool2d,aggregated_count_nnmaxpool2d,aggregated_duration_nnglobalavgpool2d,aggregated_percentage_nnglobalavgpool2d,aggregated_count_nnglobalavgpool2d,aggregated_duration_nndense,aggregated_percentage_nndense,aggregated_count_nndense,label_model_name
1099712.49,97.984223,36.0,1122335.8890000004,99.99996515299998,377.0,8974.590999999999,0.7996352199999996,125.0,81.18499999999999,0.007233574000000001,36.0,5832.824000000003,0.5197038599999995,108.0,74.84299999999999,0.006668499000000001,36.0,5194.4439999999995,0.46282439,33.0,1023.75,0.091216,1.0,44.182,0.00393661,1.0,1397.58,0.124524,1.0,resnet34-v1-7.onnx
1084288.4700000002,97.93066800000001,36.0,1107200.816,100.00006225100002,377.0,9079.715999999999,0.8200606420000002,125.0,83.866,0.007574596999999998,36.0,5958.036000000002,0.538116378,108.0,72.63100000000001,0.006559874,36.0,5223.857999999998,0.47180830000000024,33.0,1018.91,0.0920257,1.0,45.459,0.00410576,1.0,1429.87,0.129143,1.0,resnet34-v1-7.onnx
1093889.99,97.96108999999998,36.0,1116658.0079999988,100.00003415799999,377.0,9002.749999999998,0.8062231049999994,125.0,83.19399999999997,0.00745027,36.0,5899.861,0.528349796,108.0,70.985,0.006356916999999998,36.0,5263.204999999999,0.47133609999999976,33.0,1014.76,0.090875,1.0,43.393,0.00388597,1.0,1389.87,0.124467,1.0,resnet34-v1-7.onnx
1105639.7700000003,97.99668100000001,36.0,1128241.5270000005,99.99995355599995,377.0,8958.718999999996,0.7940421480000003,125.0,83.82499999999997,0.007429701999999999,36.0,5813.6650000000045,0.5152853249999999,108.0,74.503,0.006603461000000001,36.0,5208.754,0.4616699099999999,33.0,1020.35,0.0904373,1.0,44.111,0.00390971,1.0,1397.83,0.123895,1.0,resnet34-v1-7.onnx
1100250.08,97.94299699999999,36.0,1123357.8449999997,100.00002342700007,377.0,9211.382,0.8199862849999998,125.0,82.53100000000002,0.007346816000000001,36.0,5951.659999999999,0.5298097010000001,108.0,74.89500000000001,0.006667065000000001,36.0,5313.096,0.47296596,33.0,1025.1,0.0912532,1.0,44.321,0.0039454,1.0,1404.78,0.125052,1.0,resnet34-v1-7.onnx
1085714.0499999998,97.95001299999998,36.0,1108437.197,100.0000288500001,377.0,8950.576000000001,0.8074943730000002,125.0,84.594,0.007631823,36.0,5919.734000000004,0.5340610380000002,108.0,72.57900000000001,0.006547866000000002,36.0,5243.4450000000015,0.47304862,33.0,982.253,0.088616,1.0,46.966,0.00423713,1.0,1423.0,0.128379,1.0,resnet34-v1-7.onnx
1098350.96,97.98685099999999,36.0,1120917.5150000004,100.00007216199997,377.0,8934.000999999995,0.7970256100000006,125.0,81.578,0.007277790000000001,36.0,5817.238999999999,0.5189709749999999,108.0,75.813,0.0067634769999999995,36.0,5201.093000000002,0.46400303000000004,33.0,1021.24,0.0911071,1.0,43.191,0.00385318,1.0,1392.4,0.12422,1.0,resnet34-v1-7.onnx
1104353.8199999998,97.953618,36.0,1127424.7249999999,99.99995370200001,377.0,9189.439000000004,0.8150815380000003,125.0,82.91900000000001,0.007354721999999999,36.0,5904.751999999998,0.5237380790000001,108.0,74.55100000000002,0.006612503000000001,36.0,5327.175,0.47250774999999995,33.0,1022.89,0.0907283,1.0,44.689,0.00396381,1.0,1424.49,0.126349,1.0,resnet34-v1-7.onnx
1094822.8800000004,97.95922200000003,36.0,1117631.7119999998,100.00004032700008,377.0,9051.734999999999,0.8099033520000002,125.0,83.81200000000001,0.007499072000000001,36.0,5916.304,0.5293612430000001,108.0,73.91399999999999,0.006613449999999998,36.0,5237.729000000001,0.4686455800000001,33.0,1016.07,0.0909127,1.0,43.598,0.00390093,1.0,1385.67,0.123982,1.0,resnet34-v1-7.onnx
1085743.1500000001,97.96060999999999,36.0,1108346.2929999998,99.99996815899995,377.0,8844.153999999995,0.797959541,125.0,84.71299999999997,0.007643189,36.0,5867.772000000002,0.5294166999999997,108.0,73.71199999999997,0.006650628999999999,36.0,5262.909000000001,0.4748440199999999,33.0,1000.55,0.0902741,1.0,47.703,0.00430398,1.0,1421.63,0.128266,1.0,resnet34-v1-7.onnx
